# grism     FILTER   Resol.  CWL
R1200_JH     Y       0.6667  1390.
R1200_JH     J       0.6667  1390.
R1200_JH     Jlow    0.6667  1390.
R1200_JH     H       0.6667  1390.
R1200_JH     JH      0.6667  1390.
R1200_JH     HK      0.6667  1390.
R1200_HK     JH      0.7826  1871.
R1200_HK     HK      0.7826  1871.
R1200_HK     H       0.7826  1871.
R1200_HK     Ks      0.7826  1871.
R1200_HK     Kl      0.7826  1871.
R1200_HK     Kblue   0.7826  1871.
R1200_HK     Kred    0.7826  1871.
R3000        Y       0.1667  1020.
R3000        Jlow    0.1667  1115.
R3000        J       0.2022  1253.
R3000        H       0.2609  1636.
R3000        Ks      0.3462  2159.
R3000        Kl      0.3462  2155.
R3000        Kblue   0.3462  2155.
R3000        Kred    0.3462  2155.
